ISO3,COUNTRY,CONTINENT,REGION,POPULATION,POP. DENSITY (LOG),GDP (USD),GDP PER CAPITA,GOV. EFFECTIVENESS,BUILDINGS TOTAL,center_lat,center_lon,zoom
ABW,Aruba,North America,Caribbean Central America,106537.0,6.383287016174988,3126019385.0,29342.1,82.86,22860.0,12.52088881,-69.98267466,8.657523624709448
AFG,Afghanistan,Asia,South Asia,40099462.0,4.118711918670395,14583135237.0,363.67,5.24,5421880.0,33.83523216,66.00473115,4.450361276047666
AGO,Angola,Africa,Africa,34503774.0,3.3207101307494686,65685435100.0,1903.72,12.38,6979203.0,-12.29336112,17.53736149,4.504951976289193
AIA,Anguilla,North America,Caribbean Central America,,,,,,3661.0,18.22396692,-63.06498464,7.902848282708841
ALB,Albania,Europe,Europe,2811666.0,4.631032845513819,17930565119.0,6377.2,50.95,643617.800000325,41.14245128,20.04983034,6.013445179138096
AND,Andorra,Europe,Europe,79034.0,5.124915907128641,3325145407.0,42072.34,97.14,18074.257752666665,42.54229174,1.56053368,8.143425044804127
ARE,United Arab Emirates,Asia,Middle East,9365145.0,4.881816588819608,415022000000.0,44315.55,89.52,683985.0,23.90527175,54.30015737,5.5463847109998365
ARG,Argentina,South America,South America,45808747.0,2.817801065061329,487227000000.0,10636.12,37.14,11869182.999996204,-35.38135347,-65.17980881,3.6134652237508407
ARM,Armenia,Asia,Middle East,2790974.0,4.585273554273635,13861409969.0,4966.51,40.0,652933.0,40.28952206,44.9299343,5.9654038530162
ASM,American Samoa,Oceania,Oceania,45035.0,5.416900082374984,709000000.0,15743.31,72.38,17676.0,-14.30448922,-170.7180186,5.870502463144764
ATG,Antigua and Barbuda,North America,Caribbean Central America,93219.0,5.35592567916835,1560518519.0,16740.35,44.29,25704.0,17.27754256,-61.7946956,7.421183359699696
AUS,Australia,Oceania,Oceania,25688079.0,1.205970806988609,1552700000000.0,60444.5,92.86,8767858.0,-25.73288736,134.4909988,3.285274738408356
AUT,Austria,Europe,Europe,8955797.0,4.687026632457924,480368000000.0,53637.71,93.81,2315642.1,47.58549847,14.12647809,5.086254785447547
AZE,Azerbaijan,Asia,Middle East,10137750.0,4.809416300197838,54825411765.0,5408.05,58.57,1541151.0,40.28827674,47.54599646,5.351329249022225
BDI,Burundi,Africa,Africa,12551213.0,6.1918511112995755,2775798697.0,221.16,8.57,2386911.0,-3.35939257,29.8751201,6.347734792866788
BEL,Belgium,Europe,Europe,11592952.0,5.94766938710831,594352000000.0,51268.39,83.33,3846462.774129248,50.63981435,4.64064572,5.769192607879902
BEN,Benin,Africa,Africa,12996895.0,4.747190446008521,17690083520.0,1361.1,42.86,2387142.0,9.6417533,2.32784527,5.295790572645905
BFA,Burkina Faso,Africa,Africa,22100683.0,4.391729410135267,19737616003.0,893.08,23.33,3709729.0,12.26953681,-1.7545684,5.049498363303512
BGD,Bangladesh,Asia,South Asia,169356251.0,7.170919223620192,416265000000.0,2457.92,27.62,32961987.0,23.86730412,90.23812793,5.345595665647284
BGR,Bulgaria,Europe,Europe,6877743.0,4.148674906767148,84061395658.0,12222.24,45.71,2193300.9,42.76889988,25.21552327,5.2840323455530696
BHR,Bahrain,Asia,Middle East,1463265.0,7.524145597559972,39303403989.0,26860.07,73.33,265434.0,26.04200845,50.54197759,7.9097402320703
BHS,Bahamas,North America,Caribbean Central America,407906.0,3.7074558396868715,11527600000.0,28260.43,67.62,102760.0,24.29031222,-76.62835738,5.193989679247311
BIH,Bosnia and Herzegovina,Europe,Europe,3270943.0,4.157162854614252,23649566069.0,7230.2,12.86,1098951.77,44.17449912,17.76876588,5.756276335129815
BLR,Belarus,Europe,Europe,9302585.0,3.8251570724064843,69673747132.0,7489.72,20.48,1716003.3371,53.53131155,28.03208711,4.86102526485141
BLZ,Belize,North America,Caribbean Central America,400031.0,2.864483986944037,2491500000.0,6228.27,32.86,59499.21791388679,17.20027475,-88.71010228,6.158199184066779
BOL,Bolivia,South America,South America,12079472.0,2.411439497906128,40408208524.0,3345.2,23.81,3159471.0,-16.70814536,-64.6853892,4.536436489499533
BRA,Brazil,South America,South America,214326223.0,3.2441536320524693,1649620000000.0,7696.79,33.81,61106775.2,-10.78777567,-53.09783199,3.308173355855745
BRB,Barbados,North America,Caribbean Central America,281200.0,6.483030895935161,4843800000.0,17225.46,69.05,78861.8,13.18145371,-59.55980198,8.34427477113653
BRN,Brunei,Asia,Southeast Asia,445373.0,4.436869870556391,14006497000.0,31448.91,90.48,62882.0,4.51968241,114.7220255,6.809055062795454
BTN,Bhutan,Asia,South Asia,777486.0,3.015044584586364,2539551327.0,3266.36,74.29,166566.0,27.4110619,90.401895,5.906416477900417
BWA,Botswana,Africa,Africa,2588423.0,1.5195132049061133,18737066307.0,7238.8,63.33,620466.0,-22.18402031,23.7985373,4.88027589962678
CAF,Central African Republic,Africa,Africa,5457154.0,2.1701959049483,2516498412.0,461.14,4.76,958460.0,6.56823003,20.46826364,4.548876065714249
CAN,Canada,North America,North America,38226498.0,1.4701758451005926,2001490000000.0,52358.62,94.29,10322361.0,61.36206827,-98.30775723,2.636226500667224
CHE,Switzerland,Europe,Europe,8703405.0,5.394944860131629,800640000000.0,91991.6,99.05,1901999.00000039,46.79785296,8.20866006,5.6112732714951505
CHL,Chile,South America,South America,19493184.0,3.2665224783355535,316714000000.0,16247.4,70.0,4352968.23532937,-37.73069754,-71.38255879,3.356008000765989
CHN,China,Asia,East Asia,1412360000.0,5.013564333602136,17820500000000.0,12617.5,75.71,218036068.54943,36.56176801,103.8190739,3.0043112104115703
CIV,Ivory Coast,Africa,Africa,27478249.0,4.4591034098533076,71811075955.0,2613.38,32.38,5127117.0,7.62842868,-5.56921598,5.264426565548307
CMR,Cameroon,Africa,Africa,27198628.0,4.052480358123402,45338285386.0,1666.93,16.19,5336855.0,5.69110296,12.73964266,4.6820303260985145
COD,Democratic Republic of the Congo,Africa,Africa,95894118.0,3.744787086052232,55350968593.0,577.21,3.33,17073510.0,-2.87746013,23.64395637,4.169862611768284
COG,Congo,Africa,Africa,5835806.0,2.8384934971274993,13366230821.0,2290.38,9.05,1268768.0,-0.83788172,15.21965722,4.951447783900831
COK,Cook Islands,Oceania,Oceania,,,,,,9982.0,-21.21926813,-159.7872415,4.553625150052808
COL,Colombia,South America,South America,51516562.0,3.8379458020318302,318512000000.0,6182.71,50.48,7132351.38559366,3.91383156,-73.08114936,4.237941565073897
COM,Comoros,Africa,Africa,821625.0,6.090178020044014,1296089479.0,1577.47,2.38,154922.0,-11.87777573,43.68238096,6.843500713385477
CPV,Cape Verde,Africa,Africa,587925.0,4.982852913083804,2091741774.0,3557.84,52.38,136174.0,15.95518822,-23.95990969,6.127002838305889
CRI,Costa Rica,North America,Caribbean Central America,5153957.0,4.614526280912116,64616482168.0,12537.26,59.52,1495263.8367908308,9.9763424,-84.19208786,5.378410241271151
CUB,Cuba,North America,Caribbean Central America,11256372.0,4.686197024630465,,,41.9,3344405.0,21.62290023,-79.01606913,4.736879191971639
CYM,Cayman Islands,North America,Caribbean Central America,68136.0,5.648622063478926,6028373541.0,88475.6,85.71,10522.0,19.42896455,-80.91213058,6.593304406804481
CYP,Cyprus,Europe,Europe,1244188.0,4.902678819257608,28408064462.0,31552.04,73.81,286612.83926019457,34.91666932,33.00600358,6.515083235260199
CZE,Czech Republic,Europe,Europe,10505772.0,4.913463382343982,281791000000.0,26822.51,81.43,2373220.31023,49.73341073,15.31240065,5.206759262044775
DEU,Germany,Europe,Europe,83196078.0,5.47277474828519,4259930000000.0,51203.55,87.14,19934827.3,51.10697903,10.38577693,4.902083026833717
DJI,Djibouti,Africa,Africa,1105557.0,3.864721732310133,3372287462.0,3050.31,19.05,161875.0,11.74872052,42.56067681,6.542434976916354
DMA,Dominica,North America,Caribbean Central America,72412.0,4.570061008874523,555266666.7,7668.16,48.1,18013.0,15.43947211,-61.35773122,7.957193048226098
DNK,Denmark,Europe,Europe,5856733.0,4.986479204218496,398303000000.0,68007.76,98.57,1686760.4632999997,55.98126391,10.02799418,5.163900472865249
DOM,Dominican Republic,North America,Caribbean Central America,11117873.0,5.454936425989619,94243426487.0,8476.75,51.9,2712518.2477458734,18.8943308,-70.50569086,5.814725088461723
DZA,Algeria,Africa,Africa,44177969.0,2.920469789053444,163472000000.0,3700.31,28.57,7139445.0,28.15893844,2.61732102,4.090197712145976
ECU,Ecuador,South America,South America,17797737.0,4.271932711876808,106166000000.0,5965.13,42.38,4216130.7999989465,-1.42381949,-78.75203573,4.297528122424013
EGY,Egypt,Africa,Africa,109262178.0,4.6982961639775755,424672000000.0,3886.72,34.76,24412979.0,26.49593108,29.8618993,4.615649463423166
ERI,Eritrea,Africa,Africa,3620312.0,3.398192872641857,,,4.29,726737.0,15.36186881,38.84615444,5.215832377548741
ESP,Spain,Europe,Europe,47415750.0,4.552612935249416,1427380000000.0,30103.51,78.1,10012608.851489844,40.24448626,-3.64754874,4.004266378886999
EST,Estonia,Europe,Europe,1330932.0,3.4381719844535166,37191166152.0,27943.7,88.57,234936.2402,58.67192416,25.54248555,5.26887181986582
ETH,Ethiopia,Africa,Africa,120283026.0,4.668895876868636,111262000000.0,925.0,29.05,25808325.0,8.62278417,39.6008014,4.410632128546397
FIN,Finland,Europe,Europe,5541017.0,2.9030685886905716,296388000000.0,53489.75,98.1,1338520.2903,64.49884844,26.27467024,4.7249663597529965
FJI,Fiji,Oceania,Oceania,924610.0,3.9241491852259864,4296235428.0,4646.54,72.86,188554.841171862,-17.4285609,165.4505548,1.2318693338759612
FRA,France,Europe,Europe,67749632.0,4.8181017722258845,2957880000000.0,43658.98,85.24,15346838.079751402,46.18700581,2.53618475,2.35023932897421
FSM,Micronesia,Oceania,Oceania,113131.0,5.085247900805301,404028900.0,3571.34,61.9,30412.0,7.4528106,153.2370612,3.899787882849406
GAB,Gabon,Africa,Africa,2341179.0,2.2071749081893874,20217946921.0,8635.8,19.52,529546.0,-0.58660329,11.78863005,5.283896826814766
GBR,United Kingdom,Europe,Europe,67026300.0,5.6241979953133585,3122480000000.0,46585.9,86.19,15475170.903176,54.12387156,-2.86563362,4.379556680219227
GEO,Georgia,Asia,Middle East,3708610.0,4.1725394098071575,18629365612.0,5023.27,70.95,926816.0,42.16855944,43.50778995,5.214549281258729
