Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,30918.51522,31902.76258,24487.86357,29342.10073,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1550.111762,1499.954437,1353.927527,1539.165543,1622.39172
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,502.0570992,500.5229808,516.8667974,363.6740871,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1732.816544,1810.538006,1686.997899,1765.965307,1790.3488
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2487.500996,2142.238757,1502.950754,1903.717405,2998.501158
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5287.660817,5396.214227,5343.037704,6377.203096,6802.804519
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,42904.82846,41328.6005,37207.222,42072.3411,41992.79336
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6573.81697,6498.529037,5639.398735,6414.725618,7655.848402
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,46722.26872,45376.17084,37629.17417,44315.55418,53757.86325
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,11795.16289,9963.674231,8496.428157,10636.11553,13686.00867
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4391.923274,4828.504889,4505.867746,4966.513471,7014.206592
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,13195.9359,13672.57666,15501.52634,15743.31076,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,17514.35586,18187.77971,15284.77238,16740.3482,18745.17351
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,57206.99067,54941.06572,51722.069,60444.50236,64491.42989
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,51466.55656,50070.40335,48809.22688,53637.70571,52131.44666
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4739.795242,4805.753718,4229.910649,5408.045352,7736.701232
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,232.0606166,216.9729709,216.8274174,221.1578034,238.4418757
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,47544.98115,46641.71166,45517.90382,51268.38804,49582.82536
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1194.438214,1170.965533,1237.949295,1361.100749,1303.222014
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,779.2027681,772.1668775,833.2443361,893.077196,832.8842657
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1963.412707,2122.078386,2233.305893,2457.924049,2688.30395
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,9451.85087,9878.768872,10153.4766,12222.23565,13772.47679
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,25415.84662,25869.11291,23433.18724,26860.0725,30152.03468
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,31483.97884,32279.01136,23998.26802,28260.43255,31458.30081
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6024.491546,6094.723214,6095.102479,7230.198163,7585.375002
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6360.05206,6837.767232,6542.86454,7489.718947,7904.856243
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6059.162553,6210.565543,5266.87616,6228.267309,6968.361585
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,113050.7369,116153.1661,107791.8864,111774.6691,118845.6211
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3471.006951,3472.380831,3068.812555,3345.196588,3523.273733
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,9121.020092,8845.323931,6923.700197,7696.785531,8917.673898
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,18224.89059,19002.96238,16643.80658,17225.4623,20018.51515
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,31241.02397,30748.32019,27179.34442,31448.91361,37152.46624
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3210.707814,3303.962309,3009.925516,3266.362774,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6947.817841,6691.161051,5875.070606,7238.796096,7737.654681
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,435.9322963,426.408753,435.4692482,461.1375109,427.0580963
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46547.79518,46374.15275,43349.67786,52358.62164,54966.48884
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,16077.02395,16349.00536,16298.26706,18790.41816,19337.88903
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,85216.64295,84121.93103,85656.32267,91991.60046,92101.46974
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,62316.21995,61281.32722,57339.52687,67960.727,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,15795.70814,14627.14502,13165.38634,16247.40102,15355.5065
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,9905.406118,10143.86021,10408.71912,12617.50499,12720.21564
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2295.540335,2290.787379,2349.069882,2613.378893,2486.412194
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1594.060109,1538.687912,1539.130547,1666.932809,1588.478723
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,546.2125933,575.8827813,524.6666863,577.2092152,586.4642889
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2512.384167,2288.808086,1838.448124,2290.382994,2447.988989
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6782.03792,6436.509215,5304.289129,6182.707099,6630.282726
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1531.337811,1510.797323,1519.58678,1577.470841,1484.892465
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3860.454811,3928.309096,3223.735602,3557.837775,3902.589049
