Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,3276187709,3395793855,2610038939,3126019385,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1.0072E+12,1.00083E+12,9.27593E+11,1.082E+12,1.16948E+12
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18418860354,18904502222,20143451706,14583135237,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,7.67026E+11,8.22538E+11,7.8646E+11,8.4446E+11,8.77863E+11
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,77792944472,69309110146,50241368244,65685435100,1.06714E+11
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15156424062,15401826081,15162734205,17930565119,18882095518
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3218419897,3155149348,2891001149,3325145407,3352032737
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2.84348E+12,2.86889E+12,2.53338E+12,2.92846E+12,3.55756E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,4.27049E+11,4.1799E+11,3.49473E+11,4.15022E+11,5.07535E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,5.2482E+11,4.47755E+11,3.8554E+11,4.87227E+11,6.3277E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,12457940705,13619290546,12641698594,13861409969,19502783988
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,639000000,647000000,716000000,709000000,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1604770370,1675403704,1416348148,1560518519,1757603704
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.42827E+12,1.39222E+12,1.32694E+12,1.5527E+12,1.67542E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,4.54991E+11,4.44621E+11,4.35225E+11,4.80368E+11,4.714E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,47112479289,48174235294,42693000000,54825411765,78721058824
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2667182199,2576518879,2649680261,2775798697,3073414678
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,5.43299E+11,5.35866E+11,5.25213E+11,5.94352E+11,5.78604E+11
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,14262408080,14391686309,15651545209,17690083520,17401746309
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,15890066210,16178161666,17933606213,19737616003,18884619613
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,3.21379E+11,3.51238E+11,3.73902E+11,4.16265E+11,4.60201E+11
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,66399602077,68911930628,70404359049,84061395658,89040398406
