Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
Aruba,ABW,Government Effectiveness: Percentile Rank,GE.PER.RNK,80,80,83.80952454,82.85713959,82.07546997
Africa Eastern and Southern,AFE,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,7.142857075,6.666666508,5.238095284,5.238095284,1.886792421
Africa Western and Central,AFW,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,
Angola,AGO,Government Effectiveness: Percentile Rank,GE.PER.RNK,14.76190472,11.90476227,9.523809433,12.38095284,13.20754719
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,55.23809433,49.04761887,48.09523773,50.95238113,56.60377502
Andorra,AND,Government Effectiveness: Percentile Rank,GE.PER.RNK,98.57142639,98.09523773,95.7142868,97.14286041,92.45282745
Arab World,ARB,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,
United Arab Emirates,ARE,Government Effectiveness: Percentile Rank,GE.PER.RNK,90.47618866,89.04762268,87.14286041,89.52381134,88.679245
Argentina,ARG,Government Effectiveness: Percentile Rank,GE.PER.RNK,52.8571434,48.09523773,43.33333206,37.1428566,41.98113251
Armenia,ARM,Government Effectiveness: Percentile Rank,GE.PER.RNK,47.1428566,42.38095093,39.52381134,40,39.15094376
American Samoa,ASM,Government Effectiveness: Percentile Rank,GE.PER.RNK,69.52381134,70,72.85713959,72.38095093,74.52830505
Antigua and Barbuda,ATG,Government Effectiveness: Percentile Rank,GE.PER.RNK,50.47618866,49.52381134,44.2857132,44.2857132,46.22641373
Australia,AUS,Government Effectiveness: Percentile Rank,GE.PER.RNK,92.38095093,92.38095093,92.85713959,92.85713959,92.92453003
Austria,AUT,Government Effectiveness: Percentile Rank,GE.PER.RNK,90.95237732,91.42857361,93.80952454,93.80952454,91.50943756
Azerbaijan,AZE,Government Effectiveness: Percentile Rank,GE.PER.RNK,47.61904907,46.19047546,47.61904907,58.57143021,50.94339752
Burundi,BDI,Government Effectiveness: Percentile Rank,GE.PER.RNK,7.619047642,8.095237732,9.047618866,8.571428299,10.37735844
