Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022
Aruba,ABW,"Population, total",SP.POP.TOTL,105962,106442,106585,106537,106445
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,649757148,667242986,685112979,702977106,720839314
Afghanistan,AFG,"Population, total",SP.POP.TOTL,36686784,37769499,38972230,40099462,41128771
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,442646825,454306063,466189102,478185907,490330870
Angola,AGO,"Population, total",SP.POP.TOTL,31273533,32353588,33428486,34503774,35588987
Albania,ALB,"Population, total",SP.POP.TOTL,2866376,2854191,2837849,2811666,2775634
Andorra,AND,"Population, total",SP.POP.TOTL,75013,76343,77700,79034,79824
Arab World,ARB,"Population, total",SP.POP.TOTL,432545676,441467739,449228296,456520777,464684914
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9140169,9211657,9287289,9365145,9441129
Argentina,ARG,"Population, total",SP.POP.TOTL,44494502,44938712,45376763,45808747,46234830
Armenia,ARM,"Population, total",SP.POP.TOTL,2836557,2820602,2805608,2790974,2780469
American Samoa,ASM,"Population, total",SP.POP.TOTL,48424,47321,46189,45035,44273
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91626,92117,92664,93219,93763
Australia,AUS,"Population, total",SP.POP.TOTL,24966643,25340217,25655289,25688079,25978935
Austria,AUT,"Population, total",SP.POP.TOTL,8840521,8879920,8916864,8955797,9042528
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9939771,10024283,10093121,10137750,10175016
Burundi,BDI,"Population, total",SP.POP.TOTL,11493472,11874838,12220227,12551213,12889576
Belgium,BEL,"Population, total",SP.POP.TOTL,11427054,11488980,11538604,11592952,11669446
Benin,BEN,"Population, total",SP.POP.TOTL,11940683,12290444,12643123,12996895,13352864
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20392723,20951639,21522626,22100683,22673762
Bangladesh,BGD,"Population, total",SP.POP.TOTL,163683958,165516222,167420951,169356251,171186372
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7025037,6975761,6934015,6877743,6465097
Bahrain,BHR,"Population, total",SP.POP.TOTL,1487340,1494188,1477469,1463265,1472233
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,401906,404557,406471,407906,409984
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3400129,3360711,3318407,3270943,3233526
