,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
0,358.257,71.685,0.0,359.025,71.815,0.0,358.257,71.685,15.0,359.025,71.815,15.0
1,357.601,71.592,0.0,358.257,71.685,0.0,357.601,71.592,15.0,358.257,71.685,15.0
2,357.063,71.5,0.0,357.601,71.592,0.0,357.063,71.5,15.0,357.601,71.592,15.0
3,356.308,71.398,0.0,357.063,71.5,0.0,356.308,71.398,15.0,357.063,71.5,15.0
4,355.928,71.49,0.0,356.308,71.398,0.0,355.928,71.49,15.0,356.308,71.398,15.0
5,355.64,71.432,0.0,355.928,71.49,0.0,355.64,71.432,15.0,355.928,71.49,15.0
6,355.259,71.333,0.0,355.64,71.432,0.0,355.259,71.333,15.0,355.64,71.432,15.0
7,354.843,71.431,0.0,355.259,71.333,0.0,354.843,71.431,15.0,355.259,71.333,15.0
8,354.301,71.54,0.0,354.843,71.431,0.0,354.301,71.54,15.0,354.843,71.431,15.0
9,354.083,71.465,0.0,354.301,71.54,0.0,354.083,71.465,15.0,354.301,71.54,15.0
10,353.667,71.387,0.0,354.083,71.465,0.0,353.667,71.387,15.0,354.083,71.465,15.0
11,353.1,71.282,0.0,353.667,71.387,0.0,353.1,71.282,15.0,353.667,71.387,15.0
12,352.625,71.125,0.0,353.1,71.282,0.0,352.625,71.125,15.0,353.1,71.282,15.0
13,352.059,71.217,0.0,352.625,71.125,0.0,352.059,71.217,15.0,352.625,71.125,15.0
14,350.607,71.456,0.0,352.059,71.217,0.0,350.607,71.456,15.0,352.059,71.217,15.0
15,349.644,71.615,0.0,350.607,71.456,0.0,349.644,71.615,15.0,350.607,71.456,15.0
16,348.63,71.774,0.0,349.644,71.615,0.0,348.63,71.774,15.0,349.644,71.615,15.0
17,348.286,71.588,0.0,348.63,71.774,0.0,348.286,71.588,15.0,348.63,71.774,15.0
18,347.894,71.396,0.0,348.286,71.588,0.0,347.894,71.396,15.0,348.286,71.588,15.0
19,347.641,71.252,0.0,347.894,71.396,0.0,347.641,71.252,15.0,347.894,71.396,15.0
20,347.641,71.252,0.0,348.135,71.147,0.0,347.641,71.252,15.0,348.135,71.147,15.0
21,348.135,71.147,0.0,348.644,71.052,0.0,348.135,71.147,15.0,348.644,71.052,15.0
22,348.331,70.876,0.0,348.644,71.052,0.0,348.331,70.876,15.0,348.644,71.052,15.0
23,347.991,70.707,0.0,348.331,70.876,0.0,347.991,70.707,15.0,348.331,70.876,15.0
24,347.745,70.563,0.0,347.991,70.707,0.0,347.745,70.563,15.0,347.991,70.707,15.0
25,347.095,70.698,0.0,347.745,70.563,0.0,347.095,70.698,15.0,347.745,70.563,15.0
26,346.604,70.772,0.0,347.095,70.698,0.0,346.604,70.772,15.0,347.095,70.698,15.0
27,346.108,70.816,0.0,346.604,70.772,0.0,346.108,70.816,15.0,346.604,70.772,15.0
28,345.964,70.726,0.0,346.108,70.816,0.0,345.964,70.726,15.0,346.108,70.816,15.0
29,345.763,70.517,0.0,345.964,70.726,0.0,345.763,70.517,15.0,345.964,70.726,15.0
30,345.552,70.354,0.0,345.763,70.517,0.0,345.552,70.354,15.0,345.763,70.517,15.0
31,345.266,70.389,0.0,345.552,70.354,0.0,345.266,70.389,15.0,345.552,70.354,15.0
32,344.976,70.168,0.0,345.266,70.389,0.0,344.976,70.168,15.0,345.266,70.389,15.0
33,344.575,69.84,0.0,344.976,70.168,0.0,344.575,69.84,15.0,344.976,70.168,15.0
34,344.284,69.55,0.0,344.575,69.84,0.0,344.284,69.55,15.0,344.575,69.84,15.0
35,343.966,69.265,0.0,344.284,69.55,0.0,343.966,69.265,15.0,344.284,69.55,15.0
36,343.737,69.038,0.0,343.966,69.265,0.0,343.737,69.038,15.0,343.966,69.265,15.0
37,343.513,68.808,0.0,343.737,69.038,0.0,343.513,68.808,15.0,343.737,69.038,15.0
